,m/z,I,I %,Res.,S/N
16190,481.25957,36357952,0.4,456792,29.6
16191,481.28087,7484313,0.1,481474,4.2
16192,481.29606,25987032,0.3,429570,20.5
16193,481.33234,10920048,0.1,566493,7.3
16194,481.62412,7671093,0.1,448315,4.4
16195,481.64121,8512381,0.1,338691,5.1
16196,481.66746,7408107,0.1,549393,4.2
16197,481.75698,7718754,0.1,648935,4.4
16198,481.98971,7561523,0.1,360860,4.3
16199,482.00157,7535461,0.1,447648,4.3
16200,482.01297,10634133,0.1,483416,7.0
16201,482.02334,12438464,0.1,482952,8.6
16202,482.02566,7727050,0.1,418134,4.4
16203,482.02798,8979412,0.1,436685,5.5
16204,482.05174,33178679,0.4,474671,26.8
16205,482.05834,8832084,0.1,540261,5.4
16206,482.05984,22066265,0.2,464062,17.1
16207,482.06409,12196971,0.1,452782,8.4
16208,482.06694,9542775,0.1,556406,6.0
16209,482.07513,7702682,0.1,528952,4.4
16210,482.08811,29738193,0.3,504600,23.8
16211,482.09608,9112818,0.1,601002,5.7
16212,482.1006,10599685,0.1,394948,7.0
16213,482.10322,12311824,0.1,484842,8.5
16214,482.10933,9623850,0.1,419991,6.1
16215,482.12452,14271850,0.2,438091,10.2
16216,482.14552,8517058,0.1,583727,5.1
16217,482.16093,12123651,0.1,528898,8.3
16218,482.18218,7819868,0.1,541021,4.5
16219,482.19001,9328253,0.1,440607,5.9
16220,482.21827,9744116,0.1,499365,6.2
16221,482.2324,8433456,0.1,492704,5.1
16222,482.263,10291121,0.1,573065,6.7
16223,482.36957,7363954,0.1,625441,4.1
16224,482.52977,8891413,0.1,490572,5.5
16225,482.78957,28049502,0.3,483706,22.3
16226,482.80395,7571099,0.1,380003,4.3
16227,482.86422,8243610,0.1,426196,4.9
16228,482.99737,11008974,0.1,427890,7.3
16229,482.99927,9519062,0.1,507018,6.0
16230,483.03575,48387185,0.5,470523,40.2
16231,483.04023,11513987,0.1,412630,7.8
16232,483.04706,8671392,0.1,579816,5.3
16233,483.04881,7429288,0.1,479610,4.2
16234,483.05096,13753521,0.1,525134,9.7
16235,483.05511,11343042,0.1,519539,7.6
16236,483.0621,7450848,0.1,481281,4.2
16237,483.07084,8615173,0.1,844564,5.2
16238,483.07215,38089994,0.4,458576,31.2
16239,483.08317,10170681,0.1,435772,6.6
16240,483.08724,16405835,0.2,432239,12.1
16241,483.09155,8930653,0.1,320021,5.5
16242,483.1073,7695776,0.1,860778,4.4
16243,483.10851,30041509,0.3,501882,24.1
16244,483.11617,8661445,0.1,498229,5.3
16245,483.14484,22218303,0.2,459697,17.2
16246,483.166,10595992,0.1,611455,7.0
16247,483.17369,7557817,0.1,516657,4.3
16248,483.18115,12639960,0.1,465014,8.8
16249,483.18742,8132339,0.1,311416,4.8
16250,483.20241,20512563,0.2,414110,15.7
16251,483.21745,7529843,0.1,426484,4.3
16252,483.23871,28837837,0.3,477343,23.0
16253,483.2752,32196712,0.3,458469,26.0
16254,483.3102,10418429,0.1,623251,6.8
16255,483.31162,27031810,0.3,440276,21.4
16256,483.33268,8501596,0.1,675540,5.1
16257,483.36921,9643511,0.1,461344,6.1
16258,483.3797,10119715,0.1,421474,6.5
