,m/z,I,I %,Res.,S/N
25625,849.13707,18307283,1.8,217991,7.1
25626,849.15274,22649072,2.2,301355,9.4
25627,849.17363,19024151,1.9,241713,7.5
25628,849.18902,21477684,2.1,276939,8.8
25629,849.21053,22419803,2.2,156441,9.3
25630,849.22528,14141814,1.4,376420,5.0
25631,849.23086,12347777,1.2,310061,4.1
25632,849.24658,24291742,2.4,217089,10.2
25633,849.26129,13068728,1.3,310083,4.4
25634,849.28282,19753440,1.9,190671,7.9
25635,849.31853,15481378,1.5,278294,5.7
25636,849.35624,15680104,1.5,264662,5.8
25637,850.12047,14004229,1.4,327936,4.9
25638,850.15538,12386375,1.2,382208,4.1
25639,850.21424,13717688,1.4,305236,4.8
25640,850.68285,12891200,1.3,327029,4.3
25641,850.79751,12582176,1.2,248726,4.2
25642,851.06097,16508709,1.6,283657,6.2
25643,851.0948,17287015,1.7,350288,6.6
25644,851.12801,13666217,1.3,478390,4.7
25645,851.13143,19277744,1.9,359133,7.6
25646,851.1432,12453832,1.2,239180,4.1
25647,851.1529,20946906,2.1,194520,8.5
25648,851.16252,15681518,1.5,351926,5.8
25649,851.16788,26372088,2.6,288385,11.3
25650,851.1897,24938532,2.5,277163,10.5
25651,851.20475,22489154,2.2,347354,9.3
25652,851.22504,20854890,2.1,282718,8.4
25653,851.24065,14385289,1.4,223330,5.1
25654,851.29192,13687023,1.4,284797,4.8
25655,851.29932,15431933,1.5,339026,5.7
25656,851.33496,12790085,1.3,340603,4.3
25657,851.52562,12450498,1.2,300878,4.1
25658,852.09757,13729611,1.4,297701,4.8
25659,852.13436,17272726,1.7,351794,6.6
25660,852.1508,13107128,1.3,282790,4.5
25661,852.17037,14366688,1.4,251187,5.1
25662,852.20776,13115437,1.3,404854,4.5
25663,853.07274,15198015,1.5,291466,5.5
25664,853.11071,21251984,2.1,108751,8.6
25665,853.13124,12896188,1.3,111940,4.3
25666,853.14266,29689812,2.9,99961,13.0
25667,853.16597,20695046,2.0,212524,8.4
25668,853.17988,25827364,2.5,125125,11.0
25669,853.20092,18905169,1.9,135377,7.4
25670,853.21927,28047480,2.8,141092,12.1
25671,853.23739,12890271,1.3,160246,4.3
25672,853.25325,14026945,1.4,301977,4.9
25673,853.27361,13580524,1.3,275611,4.7
25674,853.30551,12405041,1.2,404856,4.1
25675,853.31161,17299774,1.7,366922,6.6
25676,853.32839,14977378,1.5,207805,5.4
25677,853.35062,12884370,1.3,321893,4.3
25678,853.68287,14466144,1.4,114805,5.2
25679,853.74476,13416679,1.3,209233,4.6
25680,853.85592,12848601,1.3,331363,4.3
25681,854.10485,15493117,1.5,169948,5.7
25682,854.14673,19804250,2.0,133014,7.9
25683,854.16993,15302798,1.5,273023,5.6
25684,854.17663,12349596,1.2,253072,4.1
25685,854.18486,16042158,1.6,235748,6.0
25686,854.19525,12472517,1.2,323597,4.1
25687,854.24295,15135023,1.5,314997,5.5
25688,854.25622,13463885,1.3,332690,4.6
25689,854.28519,14872973,1.5,247097,5.4
25690,854.32803,13619693,1.3,208280,4.7
25691,854.35101,13314591,1.3,221936,4.6
25692,855.08798,25974947,2.6,202211,11.1
25693,855.12498,44452087,4.4,157713,20.6
25694,855.14643,18528553,1.8,83156,7.2
25695,855.15948,53283142,5.3,145414,25.1
25696,855.18115,23050617,2.3,157570,9.6
25697,855.19645,53868956,5.3,182567,25.4
25698,855.21702,16738763,1.7,160008,6.3
25699,855.23319,45328880,4.5,192261,21.0
25700,855.24283,14088711,1.4,309136,5.0
25701,855.25533,17578532,1.7,207807,6.8
25702,855.26926,26739268,2.6,155970,11.5
25703,855.27752,13441623,1.3,290849,4.6
25704,855.29096,16026229,1.6,213293,6.0
25705,855.30658,23595674,2.3,166002,9.8
25706,855.34327,17853167,1.8,175864,6.9
25707,855.37707,14105405,1.4,297755,5.0
25708,855.46646,13118476,1.3,294763,4.5
25709,855.85741,13211552,1.3,178600,4.5
25710,856.08957,16912839,1.7,269036,6.4
25711,856.12655,15024671,1.5,221231,5.4
25712,856.15437,15204960,1.5,289500,5.5
25713,856.16155,17924722,1.8,310027,6.9
25714,856.19187,12458682,1.2,233989,4.1
25715,856.19799,17355465,1.7,124351,6.6
25716,856.2346,15643425,1.5,364395,5.8
25717,856.25727,13394775,1.3,301281,4.6
25718,856.26404,14070631,1.4,234705,4.9
25719,856.27162,19252090,1.9,200691,7.6
25720,857.10291,21850976,2.2,150478,9.0
25721,857.12939,13372321,1.3,297774,4.6
25722,857.14173,28736449,2.8,109027,12.5
25723,857.17456,36338706,3.6,141630,16.4
25724,857.19687,12467273,1.2,123278,4.1
25725,857.21249,29174896,2.9,162947,12.7
25726,857.2474,24386759,2.4,115621,10.3
25727,857.25793,13284576,1.3,220994,4.5
25728,857.28252,16282910,1.6,85958,6.1
25729,857.30513,13356374,1.3,320532,4.6
25730,857.35624,12725717,1.3,442319,4.3
25731,857.36005,14876127,1.5,357264,5.4
25732,857.64042,12468381,1.2,206736,4.1
25733,858.13704,13481357,1.3,345819,4.6
25734,858.32473,12539761,1.2,274107,4.2
25735,858.56452,12734944,1.3,261747,4.3
25736,859.05837,12654324,1.2,256588,4.2
25737,859.11639,13844366,1.4,401710,4.8
25738,859.1214,29446044,2.9,278715,12.9
25739,859.15761,25513980,2.5,310478,10.8
25740,859.18881,12890191,1.3,394922,4.3
25741,859.19417,29683805,2.9,234392,13.0
25742,859.20448,12398713,1.2,229587,4.1
25743,859.23052,26489023,2.6,201010,11.3
