mz,Intensity,s_n,res
228.90657,1114937,4.4,911385
228.91359,1111791,4.4,981971
228.91731,1170952,4.7,821763
228.9261,1045494,4,1066405
228.92883,1137471,4.5,1620057
228.94808,1257628,5.2,1109620
228.96331,1047617,4,1224508
229.02525,1071474,4.2,1034771
229.03784,1351981,5.8,1356570
229.05189,1063769,4.1,1205758
229.06329,1061412,4.1,1430225
229.08658,1124702,4.5,1076599
229.11123,1346009,5.7,1140802
229.14769,1178779,4.8,1265746
229.17304,1144845,4.6,789027
229.20715,1081796,4.2,1405249
229.21259,1069714,4.1,918899
229.23076,1161683,4.7,1244276
229.27708,1239584,5.1,1142725
229.31139,1082602,4.2,1173075
229.32194,1092341,4.3,1167935
229.36094,1059712,4.1,909343
229.36836,1104114,4.3,1510329
229.38301,1080638,4.2,1223703
229.38398,1093095,4.3,1459800
229.38866,1060216,4.1,1035553
229.40426,1105417,4.3,751975
229.43553,1121102,4.4,918741
229.44738,1125713,4.5,1190602
229.53312,1313586,5.5,1021031
229.53925,1185132,4.8,1342919
229.55975,1071314,4.2,1178465
229.5625,1054503,4.1,851387
229.57828,1186688,4.8,850713
229.64499,1051276,4,1387085
229.64608,1206108,4.9,1116528
229.66628,1083502,4.2,1069082
229.72537,1421332,6.2,1155573
229.7386,1044960,4,1196727
229.76576,1082456,4.2,1229215
229.77204,1046938,4,1172256
229.77444,1084667,4.2,957133
229.78399,1080022,4.2,1132567
229.79088,1093024,4.3,1360184
229.82537,1052339,4,1163541
229.82578,1103651,4.3,1196806
229.83689,1232774,5.1,1512371
229.85471,1053196,4,1479962
229.86598,1182531,4.8,892593
229.86896,1101784,4.3,1055895
229.89831,1057257,4.1,1479901
229.90215,1277659,5.3,1075182
229.94102,1066047,4.1,1586319
