mz,Intensity,s_n,res
225.80892,1121368,4.5,898194
225.81253,1071297,4.2,1651584
225.84172,1172809,4.8,969717
225.85154,1189038,4.9,1261685
225.90185,1184582,4.8,940270
225.92286,1110417,4.4,1218688
225.93828,1077531,4.2,1546073
225.94635,1152853,4.6,1208853
226.01118,1114646,4.4,1225613
226.06405,1243071,5.2,1113863
226.06817,1050159,4.1,1153770
226.07969,1052205,4.1,1236365
226.08424,1410930,6.1,1165345
226.14266,1043885,4,872236
226.17681,1077572,4.2,1199467
226.18222,1132201,4.5,1236830
226.20358,1102989,4.4,1066670
226.20444,1267845,5.3,1266148
226.25939,1091142,4.3,997177
226.26646,1108275,4.4,1095141
226.26984,1071655,4.2,1282657
226.27371,1047744,4,1231113
226.30132,1047960,4,1172279
226.31754,1115711,4.4,1155941
226.34744,1156604,4.7,1289700
226.37656,1092841,4.3,1023152
226.38106,1085290,4.3,1475193
226.39977,1049041,4,908558
226.41858,1088572,4.3,1090756
226.42331,1047293,4,724321
226.46086,1044903,4,1479181
226.46274,1114055,4.4,1247615
226.49115,1135892,4.5,1313107
226.50756,1158383,4.7,1308197
226.56635,1192585,4.9,1235039
226.58064,1170403,4.7,1162258
226.58954,1045649,4,785402
226.59753,1192238,4.9,1202118
226.60128,1136259,4.5,1163438
226.62234,1120411,4.5,1500783
226.65629,1115541,4.4,932693
226.66416,1217110,5,1124513
226.67365,1063268,4.1,1146423
226.71585,1408747,6.1,992427
226.82623,1167127,4.7,964626
226.85571,1170180,4.7,1208909
226.85968,1395757,6,993930
226.87086,1046007,4,1436968
226.94721,1476245,6.5,1063109
226.96122,1055696,4.1,1599812
226.96664,1176705,4.8,733479
226.99345,1095754,4.3,1045173
227.00747,1064225,4.1,1400619
227.0599,1075671,4.2,891864
227.07135,1137169,4.6,1126326
227.08524,1093415,4.3,1284149
227.10506,1232795,5.1,1371946
227.14533,1105211,4.4,1313127
227.14703,1051707,4.1,1043782
227.15118,1055860,4.1,1411875
227.16805,1087399,4.3,1646030
227.16982,1052368,4.1,1398016
227.17393,1243768,5.2,1297345
227.1932,1107572,4.4,1340411
227.20609,1249135,5.2,1485931
227.21094,1200472,4.9,1427071
227.2361,1104421,4.4,1216166
227.24963,1177895,4.8,1128965
227.25454,1282348,5.4,1000798
227.26451,1082938,4.2,1169736
227.27843,1083445,4.2,1349746
227.31019,1053971,4.1,896548
227.34656,1043811,4,962647
227.35142,1099156,4.3,1214434
227.35597,1070789,4.2,1391906
227.35833,1082285,4.2,1220769
227.3872,1179723,4.8,1306599
227.39866,1082345,4.2,847482
227.40842,1049815,4,1122535
227.42041,1062134,4.1,1226015
227.45354,1071056,4.2,1300370
227.47023,1066248,4.1,901264
227.47551,1055781,4.1,927581
227.53777,1073554,4.2,1385859
227.55136,1181701,4.8,1485135
227.55164,1159617,4.7,1131047
227.586,1056812,4.1,1403112
227.59714,1104942,4.4,1490939
227.61746,1187842,4.8,1246206
227.63682,1077107,4.2,1128725
227.6553,1293547,5.4,1026587
227.67787,1273867,5.3,671878
227.7124,1164359,4.7,1025079
227.71428,1058195,4.1,837512
227.73732,1064680,4.1,1227988
227.74739,1142022,4.6,1554669
227.76385,1068794,4.2,1229264
227.79146,1134096,4.5,1176760
227.82081,1126726,4.5,1236599
227.8534,1045365,4,1287910
227.88391,1083108,4.2,1041865
227.90831,1091074,4.3,1258098
227.91042,1078938,4.2,1294378
227.99644,1042573,4,1521131
228.0057,1152991,4.6,1122697
228.01366,1106321,4.4,1182566
228.06176,1042676,4,1262166
228.12211,1044718,4,960780
228.16061,1096195,4.3,1281699
228.17666,1176271,4.8,1183592
228.17943,1229983,5.1,805206
228.18103,1099460,4.3,935552
