,M/z,Intensity,Relative,Resolution,Frequency,S/N
9274,584.06235,0.0706,0.3767368,689558,553080.545442,12.43
9275,584.08347,0.0708,0.3774369,707725,553060.54894,12.45
9276,584.09155,0.0355,0.1895455,824073,553052.89359,5.64
9277,584.09861,0.0414,0.2206196,761552,553046.206807,6.77
9278,584.11976,0.0406,0.2165859,609131,553026.184154,6.62
9279,585.03105,0.1166,0.622066,773127,552164.735375,21.32
9280,585.04228,0.0404,0.2153514,701076,552154.141934,6.57
9281,585.04631,0.1124,0.5995963,703361,552150.339479,20.51
9282,585.06746,0.1126,0.6007373,735476,552130.372444,20.55
9283,585.08273,0.0504,0.2689881,761902,552115.962606,8.52
9284,585.08849,0.0557,0.2972149,815140,552110.530561,9.54
9285,585.10386,0.0721,0.3842795,680827,552096.025165,12.7
9286,585.12504,0.0367,0.1956076,631173,552076.043277,5.86
9287,585.14021,0.0493,0.2630342,603991,552061.727463,8.3
9288,585.19766,0.0325,0.173435,549026,552007.527372,5.05
9289,585.3644,0.0342,0.182634,691006,551850.292431,5.39
9290,585.47375,0.0321,0.1712559,687975,551747.220519,4.98
9291,586.02624,0.055,0.2934954,551938,551227.04179,9.41
9292,586.04157,0.0857,0.4570736,656514,551212.617943,15.34
9293,586.06274,0.0591,0.3151091,532188,551192.709676,10.19
9294,586.07796,0.066,0.3518459,739805,551178.389647,11.52
9295,586.08607,0.0326,0.1737991,780581,551170.766454,5.07
9296,586.09911,0.0446,0.2379742,650841,551158.504958,7.4
9297,587.01034,0.0667,0.3559446,747328,550302.91947,11.67
9298,587.02561,0.1059,0.5647582,813062,550288.599563,19.25
9299,587.0467,0.0791,0.421979,615277,550268.826687,14.07
9300,587.06197,0.1195,0.6371282,767342,550254.516149,21.87
9301,587.06783,0.0448,0.2390262,899280,550249.023878,7.43
9302,587.07327,0.0379,0.2023492,839415,550243.927659,6.1
9303,587.08307,0.0684,0.3650045,716861,550234.743401,12.0
9304,587.0984,0.0497,0.265111,885964,550220.373789,8.38
9305,587.10428,0.048,0.2560362,752314,550214.866499,8.05
9306,587.11959,0.0439,0.2339354,536183,550200.519513,7.25
9307,587.12536,0.1012,0.5396109,731459,550195.111092,18.33
9308,587.14072,0.033,0.1758886,777649,550180.718033,5.14
9309,587.15586,0.0459,0.2450304,846780,550166.528874,7.65
9310,587.17707,0.0367,0.1959775,833685,550146.656526,5.87
9311,587.21332,0.0481,0.2564372,842930,550112.694888,8.06
9312,587.2286,0.0362,0.1929778,771889,550098.372931,5.76
9313,587.24974,0.0436,0.232345,578679,550078.570592,7.19
9314,587.28601,0.0342,0.1824147,897989,550044.604178,5.38
9315,588.00559,0.0338,0.180107,686292,549371.470472,5.3
9316,588.02087,0.0511,0.27263,658481,549357.188981,8.65
9317,588.04199,0.0444,0.2365502,750976,549337.461745,7.34
9318,588.05723,0.0978,0.5213571,627994,549323.224861,17.67
9319,588.06524,0.0393,0.2096304,639643,549315.738906,6.37
9320,588.07842,0.0513,0.2735459,860781,549303.434447,8.68
9321,588.0936,0.0542,0.2889483,820152,549289.250071,9.24
9322,588.11471,0.0341,0.181803,563407,549269.531761,5.36
9323,588.98571,0.2841,1.5151955,763194,548457.255683,53.71
9324,589.00484,0.0335,0.1788436,974773,548439.444671,5.25
9325,589.02597,0.0542,0.2888751,698366,548419.773569,9.24
9326,589.04124,0.1611,0.8590531,769724,548405.548085,29.92
9327,589.05249,0.0418,0.2231452,839455,548395.081048,6.86
9328,589.06056,0.0425,0.2267107,730650,548387.562585,6.99
9329,589.06237,0.0664,0.3542242,689366,548385.883667,11.61
9330,589.07763,0.0911,0.4856197,705715,548371.676291,16.38
9331,589.08371,0.0374,0.19966,831435,548366.016003,6.01
9332,589.09872,0.0505,0.2690981,773417,548352.042043,8.52
9333,589.11994,0.0398,0.212486,741350,548332.293289,6.47
9334,589.15627,0.037,0.1971904,758614,548298.481055,5.92
9335,589.17144,0.0354,0.1889095,688515,548284.360751,5.62
9336,589.19293,0.0332,0.176917,555916,548264.35843,5.18
9337,589.22905,0.0448,0.2391202,757460,548230.755045,7.44
9338,589.98921,0.0338,0.1802959,557732,547524.38631,5.3
9339,590.03653,0.1277,0.6810964,672107,547480.474514,23.46
9340,590.04464,0.0548,0.2921721,825719,547472.944289,9.36
9341,590.05779,0.0367,0.195548,384828,547460.751538,5.86
9342,590.07289,0.1073,0.5720466,813703,547446.73405,19.51
9343,590.08108,0.0334,0.1781837,546761,547439.141801,5.23
9344,590.094,0.035,0.1868211,705108,547427.151305,5.54
9345,590.1094,0.0399,0.212796,684372,547412.867618,6.48
9346,591.02052,0.1298,0.6921862,726466,546568.963382,23.87
9347,591.03178,0.0324,0.1727667,848368,546558.54753,5.03
9348,591.04,0.0456,0.2432367,588471,546550.950004,7.59
9349,591.0416,0.0502,0.267586,640028,546549.469915,8.47
9350,591.05688,0.1481,0.7900221,702166,546535.337463,27.41
9351,591.06811,0.0371,0.1979834,563680,546524.957272,5.94
9352,591.07198,0.0349,0.186159,751244,546521.371808,5.52
9353,591.07804,0.0503,0.268351,450996,546515.77459,8.5
9354,591.09329,0.0611,0.3259209,775207,546501.670349,10.58
9355,591.09915,0.042,0.2237362,848958,546496.25193,6.88
9356,591.11443,0.0446,0.2377544,740965,546482.127353,7.39
9357,591.1296,0.0378,0.2014288,745753,546468.105318,6.07
9358,591.15095,0.0333,0.1777563,779516,546448.362994,5.21
9359,591.17196,0.0434,0.2315791,653499,546428.94737,7.16
9360,591.20825,0.0407,0.2173078,814483,546395.401051,6.65
9361,591.24473,0.0433,0.2308501,752657,546361.689838,7.14
9362,591.2599,0.0336,0.1789373,828198,546347.670098,5.25
9363,592.01578,0.0631,0.3362727,773334,545650.087781,10.96
9364,592.02396,0.0366,0.195023,592374,545642.550619,5.84
9365,592.05212,0.1396,0.7445834,721714,545616.596305,25.77
9366,592.06032,0.0404,0.2156837,728586,545609.04199,6.59
9367,592.06737,0.0337,0.1795739,676955,545602.542364,5.28
9368,592.08853,0.0709,0.3782289,771254,545583.044041,12.48
9369,592.09666,0.0333,0.1777286,582574,545575.557819,5.21
9370,592.12496,0.0368,0.1964734,882816,545549.482118,5.89
9371,592.99983,0.0447,0.2386409,659734,544744.602045,7.42
9372,593.03617,0.2094,1.116825,748744,544711.220668,39.27
9373,593.04726,0.0371,0.1980835,580372,544701.034924,5.95
9374,593.05162,0.0425,0.226698,578940,544697.027727,6.99
9375,593.05555,0.0345,0.1839743,599060,544693.422584,5.44
