,M/z,Intensity,Relative,Resolution,Frequency,S/N
10040,386.10929,0.0731,0.8457928,1186146,836640.891738,16.65
10041,386.11128,0.0438,0.5069622,1134490,836636.56815,9.62
10042,386.11737,0.1947,2.2522418,1208929,836623.373437,45.83
10043,386.12231,0.0205,0.2373213,1249954,836612.672117,4.02
10044,386.12452,0.0405,0.4685253,1257544,836607.878818,8.82
10045,386.12944,0.023,0.2664237,1173545,836597.224988,4.62
10046,386.13264,0.0406,0.470136,1098323,836590.297344,8.85
10047,386.1457,0.0471,0.544951,1142635,836561.999021,10.4
10048,386.14882,0.0264,0.3054149,1279792,836555.231477,5.43
10049,386.15376,0.1087,1.2573128,1169080,836544.52967,25.18
10050,386.15689,0.0296,0.3424939,1072591,836537.751897,6.2
10051,386.18209,0.0226,0.2614444,1215866,836483.173206,4.52
10052,386.19015,0.0499,0.5773039,1180898,836465.700313,11.08
10053,386.19329,0.0224,0.2586579,874673,836458.910863,4.46
10054,386.22657,0.0164,0.1895971,1124283,836386.830721,3.03
10055,386.22966,0.0395,0.4567662,1228690,836380.145179,8.57
10056,386.28315,0.0179,0.2073235,1355923,836264.333212,3.4
10057,386.37096,0.0196,0.2266434,1034059,836074.263073,3.8
10058,386.37608,0.0154,0.1778914,996049,836063.191467,2.79
10059,386.383,0.0146,0.1686395,627848,836048.208535,2.6
10060,386.49323,0.0206,0.2386373,1252144,835809.759321,4.05
10061,386.50737,0.0266,0.3078833,1161119,835779.17643,5.49
10062,386.51142,0.0466,0.5394534,1150390,835770.419406,10.29
10063,386.51794,0.026,0.3012923,1148624,835756.335301,5.35
10064,386.522,0.0554,0.6402732,1169974,835747.541531,12.38
10065,386.52556,0.0466,0.5390822,990020,835739.862905,10.28
10066,386.52725,0.0146,0.1684007,1263306,835736.196565,2.59
10067,386.52962,0.0589,0.6807646,968466,835731.068706,13.22
10068,386.53614,0.0586,0.678306,1094939,835716.985733,13.17
10069,386.54019,0.107,1.2377515,1051334,835708.217738,24.78
10070,386.54376,0.042,0.4857266,1027289,835700.508769,9.17
10071,386.54784,0.0416,0.480909,1046452,835691.687362,9.08
10072,386.55433,0.0626,0.724346,1089043,835677.660087,14.13
10073,386.55839,0.1005,1.161972,1091012,835668.874516,23.21
10074,386.56198,0.0295,0.3415953,1026523,835661.121586,6.18
10075,386.56603,0.0245,0.2837612,958771,835652.354699,4.98
10076,386.57255,0.0383,0.4428917,1050274,835638.259534,8.29
10077,386.57658,0.0571,0.6602066,1101313,835629.555274,12.8
10078,386.58014,0.0155,0.1788621,952515,835621.857689,2.81
10079,386.59072,0.0265,0.3067754,1339828,835598.993713,5.46
10080,386.59479,0.0357,0.4131571,1145190,835590.199549,7.67
10081,386.61296,0.0216,0.2500231,1117102,835550.926576,4.28
10082,386.71523,0.0269,0.310851,1232890,835329.947313,5.55
10083,386.77377,0.0294,0.3401825,1192222,835203.508942,6.16
10084,386.89888,0.0452,0.522454,1192967,834933.447293,9.94
