,m/z,I,S/N,Res.,I %
8416,527.59079,6811208,14.5,331175,2.3
8417,528.02067,4064953,7.9,337410,1.4
8418,528.02856,2610363,4.4,321105,0.9
8419,528.0486,2698944,4.6,456701,0.9
8420,528.08067,2463433,4.0,327924,0.8
8421,528.09224,15103692,34.6,331467,5.2
8422,528.15133,2494683,4.1,363215,0.9
8423,528.26472,3176185,5.7,345637,1.1
8424,528.59895,2636113,4.4,381594,0.9
8425,529.00503,9453500,20.9,327187,3.2
8426,529.03469,2587076,4.3,329342,0.9
8427,529.04106,4777926,9.6,435542,1.6
8428,529.04274,3266502,5.9,559209,1.1
8429,529.05669,5103562,10.4,313329,1.7
8430,529.0775,4106192,8.0,424372,1.4
8431,529.09312,5138388,10.5,305431,1.8
8432,529.11385,5928921,12.4,344339,2.0
8433,529.13521,5272543,10.8,311304,1.8
8434,529.15029,3011555,5.3,362767,1.0
8435,529.15524,2907620,5.1,312485,1.0
8436,529.28079,3208197,5.8,388642,1.1
8437,529.31695,2729999,4.6,381249,0.9
8438,529.38699,2525217,4.2,276090,0.9
8439,529.38992,2495522,4.1,477667,0.9
8440,529.42614,7034924,15.1,341094,2.4
8441,530.00779,2541765,4.2,319698,0.9
8442,530.02789,2878155,5.0,381565,1.0
8443,530.03663,2974925,5.2,432626,1.0
8444,530.13869,2732264,4.7,451228,0.9
8445,530.25789,2808072,4.8,349864,1.0
8446,530.31241,2646294,4.4,293983,0.9
8447,530.35678,2468130,4.0,326094,0.8
8448,530.4297,3170613,5.7,429844,1.1
8449,530.73694,2536326,4.2,279505,0.9
8450,531.02065,4694994,9.4,263137,1.6
8451,531.03595,3686358,7.0,234757,1.3
8452,531.05641,3979739,7.7,349970,1.4
8453,531.06033,11745756,26.5,328377,4.0
8454,531.07197,4882911,9.9,344533,1.7
8455,531.08721,2822627,4.9,307664,1.0
8456,531.09322,5012965,10.2,354684,1.7
8457,531.11403,2614250,4.4,405389,0.9
8458,531.12962,4817391,9.7,403002,1.6
8459,531.16621,3937784,7.6,364289,1.3
8460,531.26002,2643473,4.4,509741,0.9
8461,531.29295,2462746,4.0,372245,0.8
8462,531.29642,5622299,11.6,377001,1.9
8463,531.33254,4124196,8.0,333379,1.4
8464,531.36898,5626414,11.7,321428,1.9
8465,532.0159,3136218,5.6,438726,1.1
8466,532.0313,2633438,4.4,429972,0.9
8467,532.04376,3029729,5.3,340647,1.0
8468,532.08835,3066093,5.4,281939,1.0
8469,532.30014,2550565,4.2,431978,0.9
8470,532.67158,2504584,4.1,382559,0.9
8471,532.93673,8711119,19.0,350986,3.0
8472,532.98081,2532315,4.1,413600,0.9
8473,532.99958,4986848,10.0,349700,1.7
8474,533.01488,3787748,7.2,262929,1.3
8475,533.03615,3426281,6.3,422038,1.2
8476,533.05181,4029422,7.7,285223,1.4
8477,533.0666,2570737,4.2,402412,0.9
8478,533.07277,3547123,6.6,355380,1.2
8479,533.09241,2762232,4.7,353819,0.9
8480,533.10933,4809725,9.6,382496,1.6
8481,533.14554,6441991,13.5,353231,2.2
8482,533.27082,6429736,13.5,327977,2.2
8483,533.31181,6675507,14.1,367692,2.3
