,m/z,I,S/N,Res.,I %
519,215.87672,2088425,4.4,1109574,4.4
520,215.88091,2104169,4.4,686698,4.5
521,215.90425,2205802,4.7,914974,4.7
522,215.91664,2262698,4.9,747433,4.8
523,215.9186,2065898,4.3,1235887,4.4
524,215.93136,2144682,4.5,767247,4.5
525,215.96291,2034411,4.2,1114713,4.3
526,215.9684,1989611,4.1,1123084,4.2
527,215.9746,1979627,4.0,881258,4.2
528,216.00202,2121580,4.5,674299,4.5
529,216.01069,2185708,4.6,1057285,4.6
530,216.01315,1979116,4.0,1005740,4.2
531,216.03025,4152557,10.6,798078,8.8
532,216.04051,1978157,4.0,871025,4.2
533,216.04557,2695149,6.2,846484,5.7
534,216.05651,1978350,4.0,986139,4.2
535,216.06136,2073902,4.3,786541,4.4
536,216.11908,1982511,4.0,653234,4.2
537,216.13937,2349552,5.1,754892,5.0
538,216.18615,1973489,4.0,1030917,4.2
539,216.19573,2028145,4.2,648986,4.3
540,216.20836,2148082,4.5,1110640,4.6
541,216.21121,2015346,4.1,795694,4.3
542,216.24474,2291315,5.0,909221,4.9
543,216.24614,1978611,4.0,982885,4.2
544,216.2521,2000371,4.1,955559,4.2
545,216.25872,2019059,4.1,769625,4.3
546,216.29854,2282356,4.9,1178814,4.8
547,216.30059,2425972,5.4,1060862,5.1
548,216.30773,1974196,4.0,877096,4.2
549,216.31859,2203381,4.7,1027764,4.7
550,216.34304,2004213,4.1,1067510,4.2
551,216.349,1999222,4.1,962469,4.2
552,216.38135,1979958,4.0,861870,4.2
553,216.40459,1992887,4.1,831043,4.2
554,216.41099,2292407,5.0,675506,4.9
555,216.46301,2358649,5.2,873807,5.0
556,216.5637,2241404,4.8,707915,4.8
557,216.62406,2307645,5.0,599160,4.9
558,216.6562,2029438,4.2,818035,4.3
559,216.71489,2228992,4.8,960073,4.7
560,216.72839,2531201,5.7,508207,5.4
561,216.75426,2055297,4.3,776054,4.4
562,216.75638,2102785,4.4,926532,4.5
563,216.78793,2352130,5.2,926948,5.0
564,216.8009,2048003,4.2,896899,4.3
565,216.81058,2489411,5.6,559804,5.3
566,216.81324,1986819,4.0,836599,4.2
567,216.82672,2029667,4.2,761638,4.3
568,216.83756,2167492,4.6,724411,4.6
569,216.86025,2035844,4.2,1021800,4.3
570,216.88739,1979909,4.0,1185857,4.2
571,216.89263,2146438,4.5,918606,4.6
572,216.91512,2195654,4.7,795509,4.7
573,216.93113,2083079,4.3,814340,4.4
574,216.93369,2048071,4.2,846080,4.3
575,216.94039,2180871,4.6,766356,4.6
576,217.00522,2138505,4.5,985210,4.5
577,217.00924,1995401,4.1,536067,4.2
578,217.01428,6625289,18.1,751625,14.0
579,217.05066,6165003,16.7,905096,13.1
580,217.05393,1981451,4.0,586171,4.2
581,217.05806,2163723,4.6,1099027,4.6
582,217.06173,2020363,4.1,1017822,4.3
583,217.06591,3869451,9.8,792587,8.2
584,217.08705,2819724,6.6,968624,6.0
585,217.12341,2671245,6.1,816618,5.7
586,217.13961,2055117,4.3,750418,4.4
587,217.3227,2351251,5.2,932789,5.0
588,217.36011,2002709,4.1,1167426,4.2
589,217.36132,2213269,4.7,849349,4.7
590,217.36497,2191125,4.7,1004533,4.6
591,217.3761,2178453,4.6,860715,4.6
592,217.38423,2194965,4.7,828052,4.7
593,217.42217,2135575,4.5,1086014,4.5
594,217.43681,2169111,4.6,1108034,4.6
595,217.44972,2378264,5.2,1010780,5.0
596,217.49818,2158745,4.6,881773,4.6
597,217.49862,2486553,5.6,948424,5.3
598,217.5224,1978394,4.0,1010260,4.2
599,217.52569,2035994,4.2,947311,4.3
600,217.54002,2183195,4.6,1182221,4.6
601,217.58617,2210652,4.7,786439,4.7
602,217.59088,2043804,4.2,1033804,4.3
603,217.59961,2066077,4.3,890882,4.4
604,217.65276,2530463,5.7,761086,5.4
605,217.67769,2071583,4.3,961699,4.4
606,217.74176,2190882,4.7,625581,4.6
607,217.77789,2015075,4.1,766707,4.3
608,217.77942,2008739,4.1,923570,4.3
609,217.82636,1982373,4.0,963880,4.2
610,217.82732,2016933,4.1,682876,4.3
611,217.82973,2133925,4.5,1022463,4.5
612,217.87144,2074406,4.3,860202,4.4
613,217.9014,2223784,4.8,920673,4.7
614,217.91,2202408,4.7,866826,4.7
615,217.92588,2018984,4.1,871041,4.3
616,217.93349,2168233,4.6,1033339,4.6
617,217.94345,2311593,5.0,615199,4.9
618,218.01295,2203116,4.7,633957,4.7
619,218.01766,2111916,4.4,1008216,4.5
620,218.02048,2268460,4.9,801214,4.8
621,218.02205,2444780,5.4,605452,5.2
