,m/z,I,S/N,Res.,I %
579,216.40375,2022235,4.1,838941,0.6
580,216.41352,2132315,4.4,687761,0.6
581,216.44095,2009948,4.1,947521,0.5
582,216.47388,2558045,5.7,987752,0.7
583,216.52393,2207007,4.6,822111,0.6
584,216.55386,2101728,4.3,932424,0.6
585,216.62718,2261859,4.8,1057396,0.6
586,216.65885,2005476,4.0,1047284,0.5
587,216.66004,2093412,4.3,783538,0.6
588,216.67145,2010725,4.1,1170456,0.6
589,216.70051,1998438,4.0,1077257,0.5
590,216.81262,1998186,4.0,1077056,0.5
591,216.89725,2025902,4.1,764314,0.6
592,216.94433,1994992,4.0,954284,0.5
593,216.94688,2098928,4.3,998017,0.6
594,216.95655,2818672,6.5,944878,0.8
595,216.97652,2232433,4.7,957493,0.6
596,216.9853,2195953,4.6,1088365,0.6
597,216.9917,2051186,4.2,914516,0.6
598,216.99975,2286706,4.9,915015,0.6
599,217.01428,8205043,22.6,565055,2.2
600,217.01772,2016243,4.1,1055711,0.6
601,217.03321,2104051,4.3,1218835,0.6
602,217.03537,2144756,4.5,813931,0.6
603,217.0507,8793588,24.3,721016,2.4
604,217.05789,2104180,4.3,864264,0.6
605,217.06373,2705781,6.1,699093,0.7
606,217.0718,3756149,9.3,625730,1.0
607,217.08707,4950262,12.8,590846,1.4
608,217.0977,2207030,4.6,662308,0.6
609,217.10817,37973752,111.6,547942,10.4
610,217.10962,2015607,4.1,779926,0.6
611,217.11941,2742903,6.2,852680,0.8
612,217.14459,7180536,19.5,682982,2.0
613,217.22558,2005116,4.0,917995,0.5
614,217.23712,2377340,5.1,965266,0.7
615,217.25766,2060285,4.2,1062362,0.6
616,217.27028,2161662,4.5,917377,0.6
617,217.32664,2100352,4.3,864803,0.6
618,217.35082,2067457,4.2,1068377,0.6
619,217.4065,2331780,5.0,1063847,0.6
620,217.4071,2023684,4.1,984040,0.6
