exp	town	abundance	mw	error	C	H	O	N	S	y
SRFA	1	0.106505671	708.190136	-0.040688225	32	36	18	0	0	7
SRFA	1	0.528163629	434.084946	0.079088207	20	18	11	0	0	9
SRFA	1	0.009616533	984.326426	0.10350733	48	56	22	0	0	2
SRFA	1	0.163836498	428.074366	0.044489933	21	16	10	0	0	9
SRFA	1	0.050923123	473.059496	0.149647139	21	15	12	1	0	7
SRFA	1	0.060003027	682.065566	0.304637868	27	22	21	0	0	4
SRFA	1	0.029407138	332.038016	0.164297452	12	12	11	0	0	8
SRFA	1	0.204731904	322.068906	0.119226039	15	14	8	0	0	9
SRFA	1	0.583662546	378.131516	0.127212353	19	22	8	0	0	9
SRFA	1	0.03674374	676.142666	-0.228648491	34	28	15	0	0	4
SRFA	1	0.375748694	350.100196	0.080694042	17	18	8	0	0	9
SRFA	1	0.09756117	698.038956	-0.268507937	30	18	20	0	0	7
SRFA	1	0.087708678	748.075906	-0.02263273	31	24	22	0	0	5
SRFA	1	0.15222378	628.179036	-0.270793819	31	32	14	0	0	7
SRFA	1	0.081340799	430.183906	0.019821755	20	30	10	0	0	9
SRFA	1	0.030628743	746.315026	0.073142035	38	50	15	0	0	4
SRFA	1	0.051454776	398.136586	0.082240621	22	22	7	0	0	8
SRFA	1	0.194548872	636.168996	-0.061912794	29	32	16	0	0	7
SRFA	1	0.028185035	286.032546	0.223425624	11	10	9	0	0	9
SRFA	1	0.042193673	794.205736	-0.099330685	39	38	18	0	0	4
SRFA	1	0.014943012	422.059816	0.133770138	17	14	11	2	0	4
SRFA	1	0.018620771	616.048636	-0.461254166	30	16	15	0	0	5
SRFA	1	0.395214732	576.111486	-0.05979919	26	24	15	0	0	7
SRFA	1	0.156261947	732.117376	-0.024311675	32	28	20	0	0	5
SRFA	1	0.030115012	822.149136	0.058455331	35	34	23	0	0	4
SRFA	1	0.017561449	252.136166	0.026719689	14	20	4	0	0	8
SRFA	1	0.570456862	342.095116	0.098250453	15	18	9	0	0	9
SRFA	1	0.049935485	598.044416	0.313038622	23	18	19	0	0	6
SRFA	1	0.016803297	443.070136	0.329694981	17	17	13	1	0	5
SRFA	1	0.028484214	625.106996	0.362459549	29	23	15	1	0	3
SRFA	1	0.015848015	674.330266	0.057104066	36	50	12	0	0	3
SRFA	1	0.019977778	668.283446	0.252481191	36	44	12	0	0	4
SRFA	1	0.30073595	472.158116	0.083279306	21	28	12	0	0	8
SRFA	1	0.013754261	604.012296	-0.395102884	28	12	16	0	0	4
SRFA	1	0.268064228	430.074816	0.174506847	17	18	13	0	0	9
SRFA	1	0.163589588	444.178466	0.107796761	24	28	8	0	0	9
SRFA	1	0.355916274	398.048546	0.049840654	16	14	12	0	0	9
SRFA	1	0.011077084	440.005066	0.268435546	17	12	12	0	1	5
SRFA	1	0.119098063	552.257026	-0.066061631	28	40	11	0	0	9
SRFA	1	0.037207691	316.131086	0.038265772	18	20	5	0	0	8
SRFA	1	0.015081401	356.162326	-0.134913202	21	24	5	0	0	8
SRFA	1	0.042938384	764.195136	-0.149405557	38	36	17	0	0	4
SRFA	1	0.048876163	650.163516	-0.061573741	33	30	14	0	0	6
SRFA	1	0.014794169	520.133076	0.291173561	23	24	12	2	0	3
SRFA	1	0.264464126	542.106046	0.009044356	26	22	13	0	0	8
SRFA	1	0.333407672	510.210106	-0.012271415	25	34	11	0	0	9
SRFA	1	0.082945712	476.241006	-0.026068734	26	36	8	0	0	8
SRFA	1	0.504842615	434.048566	0.09178466	19	14	12	0	0	9
SRFA	1	0.083407672	680.268016	-0.007630816	33	44	15	0	0	5
SRFA	1	0.049660698	482.012086	-0.113385124	22	10	13	0	0	8
SRFA	1	0.014036017	415.111466	0.012550846	17	21	11	1	0	6
SRFA	1	0.090711418	544.012506	-0.052658716	23	12	16	0	0	8
SRFA	1	0.049841898	407.085316	0.171949214	18	17	10	1	0	7
SRFA	1	0.199144578	384.178416	-0.005515666	19	28	8	0	0	9
SRFA	1	0.022494664	576.126826	0.085864775	30	24	12	0	0	7
SRFA	1	0.018404725	838.304946	0.173334299	43	50	17	0	0	3
SRFA	1	0.020080325	453.069666	0.154660542	22	15	10	1	0	7
SRFA	1	0.205221741	612.111366	-0.252324999	29	24	15	0	0	7
SRFA	1	0.021656365	530.236256	-0.133994987	25	38	12	0	0	7
SRFA	1	0.036566522	390.043486	0.115881951	14	14	13	0	0	8
SRFA	1	0.026894733	316.021886	-0.099293756	15	8	8	0	0	8
SRFA	1	0.324678221	580.215546	-0.078617335	28	36	13	0	0	7
SRFA	1	0.510417994	420.105676	0.068785074	20	20	10	0	0	9
SRFA	1	0.028404565	686.097566	-0.146260539	49	18	3	0	1	2
SRFA	1	0.022385147	672.038586	-0.243192881	32	16	17	0	0	4
SRFA	1	0.019681088	450.095146	0.141327896	24	18	9	0	0	8
SRFA	1	0.163310819	688.054696	-0.141708211	29	20	20	0	0	7
SRFA	1	0.056104244	440.147166	0.109120321	24	24	8	0	0	8
SRFA	1	0.047701351	660.074966	-0.255945171	32	20	16	0	0	6
SRFA	1	0.005795532	272.016906	0.271972066	10	8	9	0	0	6
SRFA	1	0.345450491	568.179236	0.052611919	26	32	14	0	0	7
SRFA	1	0.136393685	400.079476	0.109190805	20	16	9	0	0	9
SRFA	1	0.037920543	435.043806	0.070949177	18	13	12	1	0	6
SRFA	1	0.008907664	380.121856	-0.288967862	17	20	8	2	0	7
SRFA	1	0.013756252	706.029216	0.344590556	28	18	22	0	0	1
SRFA	1	0.40636549	566.163526	-0.053046511	26	30	14	0	0	8
SRFA	1	0.175823563	452.022726	0.045645935	18	12	14	0	0	8
SRFA	1	0.333304129	298.105306	0.17742388	14	18	7	0	0	9
SRFA	1	0.014573145	427.090366	0.081102274	21	17	9	1	0	7
SRFA	1	0.033285013	818.133006	-0.046291984	39	30	20	0	0	4
SRFA	1	0.118946731	656.210436	-0.107061693	33	36	14	0	0	8
SRFA	1	0.280314133	606.194816	-0.066283972	29	34	14	0	0	7
SRFA	1	0.129428444	734.096586	-0.098576947	31	26	21	0	0	4
SRFA	1	0.018245926	330.167886	0.098722503	16	26	7	0	0	8
SRFA	1	0.361682809	600.075076	-0.098226043	27	20	16	0	0	8
SRFA	1	0.013295288	250.011416	0.253328432	11	6	7	0	0	8
SRFA	1	0.4668026	550.095866	-0.007956795	24	22	15	0	0	7
SRFA	1	0.49123869	364.115846	0.077384712	18	20	8	0	0	9
SRFA	1	0.091101695	614.148296	-0.006436556	26	30	17	0	0	7
SRFA	1	0.045941124	660.023606	0.170668138	27	16	20	0	0	3
SRFA	1	0.203891615	308.089636	0.106998082	15	16	7	0	0	9
SRFA	1	0.032268502	425.059476	0.119493866	17	15	12	1	0	6
SRFA	1	0.009532903	385.043456	0.194419614	18	11	9	1	0	7
SRFA	1	0.015799231	651.997036	-0.372036967	28	12	19	0	0	1
SRFA	1	0.045542883	630.179686	0.136308742	27	34	17	0	0	8
SRFA	1	0.214381292	444.163206	0.09897488	20	28	11	0	0	9
SRFA	1	0.029947751	569.117056	0.203571478	27	23	13	1	0	2
SRFA	1	0.152637951	652.127486	-0.120404371	28	28	18	0	0	7
SRFA	1	0.011394183	410.172746	-0.469960527	24	26	6	0	0	8
SRFA	1	0.282265515	338.063806	0.070279632	15	14	9	0	0	9
SRFA	1	0.131738244	552.090376	-0.027211125	27	20	13	0	0	8
SRFA	1	0.015037594	410.030776	0.01784988	17	14	10	0	1	7
SRFA	1	0.011670463	380.056486	-0.27226216	17	16	8	0	1	6
SRFA	1	0.013321174	311.064176	0.191040964	13	13	8	1	0	7
SRFA	1	0.019052365	380.053316	0.25910312	20	12	8	0	0	8
